codusu,ano4,trimestre,region,aglomerado,fecha_nacimiento,edad,asistencia_educacion,nivel_ed,tipo_establecimiento,codigo_actividad,sexo,categoria_ocupacion,cat_cantidad_empleos,alfabetismo,salario,horas_trabajadas,educacion,experiencia_potencial,salario_horario
TQRMNOPYRHJMKPCDEIGED00785098,2023,3,Pampeana,30,01/01/1900,30,asistio,"Secundaria
Incompleta",Privada,5601,Mujer,Obrero o empleado,unico,Sabe leer y escribir,48000,15,10,15,800
TQRMNOQRXHKMLOCDEHLEH00790365,2023,3,Noroeste,25,01/01/1900,28,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,50000,25,13,10,500
TQRMNOPURHLOLMCDEGPDJ00805561,2023,3,Noroeste,19,22/07/1965,57,asistio,"Secundaria
Incompleta",Privada,4903,Varon,Obrero o empleado,unico,Sabe leer y escribir,140000,63,11,41,555.5555555555555
TQRMNOPTQHJMQTCDEIJAH00786499,2023,3,Gran Buenos Aires,33,20/10/1954,68,asistio,"Primaria
Completa",Privada,4803,Varon,Cuenta propia,unico,Sabe leer y escribir,60000,30,8,55,500
TQRMNOVSTHKNRPCDEIJAH00812204,2023,3,Gran Buenos Aires,33,19/02/1980,43,asistio,"Superior
Universitaria
Completa",Privada,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,170000,40,16,22,1062.5
TQRMNOSUXHJOLNCDEOJAH00793052,2023,3,Patagonia,93,02/02/1984,39,asistio,"Primaria
Completa",Privada,101,Mujer,Obrero o empleado,unico,Sabe leer y escribir,100000,48,8,26,520.8333333333334
TQRMNOSSRHKNKPCDEGKDB00789386,2023,3,Pampeana,14,01/01/1900,35,asistio,"Secundaria
Completa",Privada,1600,Varon,Obrero o empleado,unico,Sabe leer y escribir,186000,40,13,17,1162.5
TQRMNORYXHKMKPCDEOHCH00792854,2023,3,Patagonia,91,10/01/1963,60,asistio,"Primaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,150000,36,8,47,1041.6666666666667
TQRMNOSUXHJMKTCDEHIBB00784252,2023,3,Noroeste,22,06/10/1960,62,asistio,"Secundaria
Incompleta",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,120000,30,10,47,1000
TQRMNOQRTHJMLOCDEIMBF00792569,2023,3,Pampeana,36,27/12/1990,32,asistio,"Secundaria
Completa",Privada,4501,Varon,Obrero o empleado,unico,Sabe leer y escribir,190000,45,13,14,1055.5555555555557
